school,student_grade,met_growth_count,met_growth_percent,met_growth_sum,met_performance_count,met_performance_percent,met_performance_sum
Horizon Middle,K,21,0.47619047619047616,10.0,22,0.5909090909090909,13
Mountain View Middle,1,29,0.6206896551724138,18.0,33,0.45454545454545453,15
Mountain View Middle,2,19,0.7368421052631579,14.0,22,0.5909090909090909,13
Mountain View Middle,3,14,0.5,7.0,21,0.5238095238095238,11
Mountain View Middle,4,18,0.5555555555555556,10.0,24,0.75,18
Mountain View Middle,5,22,0.4090909090909091,9.0,25,0.56,14
Mountain View Middle,6,18,0.4444444444444444,8.0,23,0.4782608695652174,11
Mountain View Middle,7,19,0.3684210526315789,7.0,21,0.5238095238095238,11
Mountain View Middle,8,19,0.47368421052631576,9.0,21,0.8095238095238095,17
Mountain View Middle,K,32,0.59375,19.0,35,0.5428571428571428,19
North High,1,20,0.55,11.0,25,0.56,14
North High,2,22,0.6818181818181818,15.0,24,0.5833333333333334,14
North High,3,21,0.6190476190476191,13.0,23,0.5217391304347826,12
North High,4,17,0.5882352941176471,10.0,22,0.5,11
North High,5,25,0.52,13.0,29,0.4827586206896552,14
North High,6,24,0.7083333333333334,17.0,25,0.52,13
North High,7,21,0.5238095238095238,11.0,26,0.7307692307692307,19
North High,8,9,0.3333333333333333,3.0,12,0.6666666666666666,8
North High,K,25,0.4,10.0,30,0.5666666666666667,17
Prairie Ridge Middle,1,24,0.5416666666666666,13.0,28,0.39285714285714285,11
Prairie Ridge Middle,2,19,0.3157894736842105,6.0,25,0.6,15
Prairie Ridge Middle,3,25,0.48,12.0,28,0.5,14
Prairie Ridge Middle,4,22,0.5454545454545454,12.0,27,0.5185185185185185,14
Prairie Ridge Middle,5,30,0.6666666666666666,20.0,32,0.59375,19
Prairie Ridge Middle,6,23,0.4782608695652174,11.0,27,0.3333333333333333,9
Prairie Ridge Middle,7,26,0.34615384615384615,9.0,29,0.6206896551724138,18
Prairie Ridge Middle,8,25,0.32,8.0,28,0.5,14
Prairie Ridge Middle,K,29,0.5172413793103449,15.0,36,0.4722222222222222,17
South High,1,12,0.8333333333333334,10.0,20,0.65,13
South High,2,25,0.36,9.0,33,0.48484848484848486,16
South High,3,25,0.68,17.0,33,0.5454545454545454,18
South High,4,19,0.42105263157894735,8.0,24,0.625,15
South High,5,28,0.4642857142857143,13.0,34,0.5,17
South High,6,32,0.5625,18.0,37,0.6216216216216216,23
South High,7,30,0.6333333333333333,19.0,35,0.6571428571428571,23
South High,8,15,0.4,6.0,17,0.6470588235294118,11
South High,K,20,0.6,12.0,26,0.46153846153846156,12
Summit Valley School District,1,374,0.5240641711229946,196.0,448,0.578125,259
Summit Valley School District,2,370,0.5297297297297298,196.0,435,0.5333333333333333,232
Summit Valley School District,3,369,0.5420054200542005,200.0,446,0.5089686098654709,227
Summit Valley School District,4,362,0.5248618784530387,190.0,445,0.604494382022472,269
Summit Valley School District,5,400,0.5275,211.0,465,0.5333333333333333,248
Summit Valley School District,6,372,0.532258064516129,198.0,434,0.5391705069124424,234
Summit Valley School District,7,394,0.5431472081218274,214.0,476,0.5903361344537815,281
Summit Valley School District,8,341,0.4809384164222874,164.0,408,0.5735294117647058,234
Summit Valley School District,K,372,0.5026881720430108,187.0,440,0.5568181818181818,245
